Classification - Australian and New Zealand Standard Industrial Classification (ANZSIC) 2006;;;;;;;;;;,,,
Level 1;;;;;;;;;;,,,
;Level 2;;;;;;;;;,,,
;;Level 3;;;HIANZ;;;ARRCO;;,,,
;;;Level 4;;Bool Val;Use case;Display name;Bool Val;Use case;Display name,,,
A;Agriculture, Forestry and Fishing;;;;;;;;;,,
;A01;Agriculture;;;;;;;;,,,
;;A011;Nursery and Floriculture Production;;;;;;;,,,
;;;A011100;Nursery Production (Under Cover);;;;;;,,,
;;;A011200;Nursery Production (Outdoors);;;;;;,,,
;;;A011300;Turf Growing;;;;;;,,,
;;;A011400;Floriculture Production (Under Cover);;;;;;,,,
;;;A011500;Floriculture Production (Outdoors);;;;;;,,,
;;A012;Mushroom and Vegetable Growing;;;;;;;,,,
;;;A012100;Mushroom Growing;;;;;;,,,
;;;A012200;Vegetable Growing (Under Cover);;;;;;,,,
;;;A012300;Vegetable Growing (Outdoors);;;;;;,,,
;;A013;Fruit and Tree Nut Growing;;;;;;;,,,
;;;A013100;Grape Growing;;;;;;,,,
;;;A013200;Kiwifruit Growing;;;;;;,,,
;;;A013300;Berry Fruit Growing;;;;;;,,,
;;;A013400;Apple and Pear Growing;;;;;;,,,
;;;A013500;Stone Fruit Growing;;;;;;,,,
;;;A013600;Citrus Fruit Growing;;;;;;,,,
;;;A013700;Olive Growing;;;;;;,,,
;;;A013900;Other Fruit and Tree Nut Growing;;;;;;,,,
;;A014;Grain, Sheep and Beef Cattle Farming;;;;;;;,,
;;;A014100;Sheep Farming (Specialised);;;;;;,,,
;;;A014200;Beef Cattle Farming (Specialised);;;;;;,,,
;;;A014300;Beef Cattle Feedlots (Specialised);;;;;;,,,
;;;A014400;Sheep-Beef Cattle Farming;;;;;;,,,
;;;A014500;Grain-Sheep and Grain-Beef Cattle Farming;;;;;;,,,
;;;A014600;Rice Growing;;;;;;,,,
;;;A014900;Other Grain Growing;;;;;;,,,
;;A015;Other Crop Growing;;;;;;;,,,
;;;A015100;Sugar Cane Growing;;;;;;,,,
